UserID,Name,Role,Gender,Age,Password
D001,John Smith,DOCTOR,Male,45,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
D002,Emily Clarke,DOCTOR,Female,38,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
D003,Timmy Tan,DOCTOR,Male,34,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
D004,Michelle Tan,DOCTOR,Female,42,I80YpKkCQIdL6Z6Yt4goPnBmVF3Jzs2Cq7mIGStdZPs=
D005,Yap Lim,DOCTOR,Male,32,I80YpKkCQIdL6Z6Yt4goPnBmVF3Jzs2Cq7mIGStdZPs=
A001,Sarah Lee,ADMINISTRATOR,Female,40,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
A002,Jeon,ADMINISTRATOR,Male,27,I80YpKkCQIdL6Z6Yt4goPnBmVF3Jzs2Cq7mIGStdZPs=
A003,Jennie,ADMINISTRATOR,Female,26,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
PH001,Mark Lee,PHARMACIST,Male,29,5CH2fpdIgKodEQzryTvxLM+a8o6kKAGPPPMIfSLmqEY=
PH002,Mary,PHARMACIST,Female,43,hU1ZDp4zr15PfNydB6j+Qpg5s5sECx4ZYOxj1Gx2PcI=
PH003,Matthew,PHARMACIST,Male,43,5CH2fpdIgKodEQzryTvxLM+a8o6kKAGPPPMIfSLmqEY=
